foundation,category,dept_display_name,catalog_number,course_title
Foundations of Society and Culture,Social Analysis,Musicology,M137,"Lesbian, Gay, Bisexual, Transgender, and Queer Perspectives in Pop Music"
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Near Eastern Languages,M20,Visible Language: Study of Writing
Foundations of Arts and Humanities,Literary and Cultural Analysis,Near Eastern Languages,65,Global Time Travel
Foundations of Arts and Humanities,Literary and Cultural Analysis,Philosophy,2,Introduction to Philosophy of Religion
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,2,Introduction to Philosophy of Religion
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,3,Historical Introduction to Philosophy
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,4,Philosophical Analysis of Contemporary Moral Issues
Foundations of Arts and Humanities,Literary and Cultural Analysis,Philosophy,5,Philosophy in Literature
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,5,Philosophy in Literature
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,6,Introduction to Political Philosophy
Foundations of Society and Culture,Social Analysis,Philosophy,6,Introduction to Political Philosophy
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,7,Introduction to Philosophy of Mind
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,8,Introduction to Philosophy of Science
Foundations of Scientific Inquiry,Physical Sciences,Philosophy,8,Introduction to Philosophy of Science
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,9,Principles of Critical Reasoning
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,10,Philosophy of Death and Grief
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,21,Skepticism and Rationality
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,22,Introduction to Ethical Theory
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,22W,Introduction to Ethical Theory
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,23,Meaning and Communication
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Philosophy,M24,Language and Identity
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,Portuguese,M35,"Spanish, Portuguese, and Nature of Language"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Portuguese,40B,"Portuguese, Brazilian, and African Literature in Translation: Brazilian Literature"
Foundations of Arts and Humanities,Literary and Cultural Analysis,Portuguese,46,Brazil and Portuguese-Speaking World
Foundations of Society and Culture,Historical Analysis,Portuguese,46,Brazil and Portuguese-Speaking World
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M10,Introduction to Judaism
Foundations of Arts and Humanities,Philosophical and Linguistic Analysis,"Religion, Study of",M20,Introduction to Islam
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M20,Introduction to Islam
Foundations of Arts and Humanities,Literary and Cultural Analysis,"Religion, Study of",M50,"Origins of Judaism, Christianity, and Islam"
Foundations of Society and Culture,Historical Analysis,"Religion, Study of",M50,"Origins of Judaism, Christianity, and Islam"
