foundation,category,dept_display_name,catalog_number,course_title
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",15,Blue Planet: Introduction to Oceanography
Foundations of Scientific Inquiry,Life Sciences,"Earth, Planetary, and Space Sciences",16,Major Events in History of Life
Foundations of Scientific Inquiry,Life Sciences,"Earth, Planetary, and Space Sciences",17,Dinosaurs and Their Relatives
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",17,Dinosaurs and Their Relatives
Foundations of Scientific Inquiry,Life Sciences,"Earth, Planetary, and Space Sciences",20,Natural History of Southern California
Foundations of Scientific Inquiry,Physical Sciences,"Earth, Planetary, and Space Sciences",20,Natural History of Southern California
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,10,Plants and Civilization
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,11,Biomedical Research Issues in Minority Communities
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,17,Evolution for Everyone
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,18,Why Ecology Matters: Science Behind Environmental Issues
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,21,Field Biology
Foundations of Scientific Inquiry,Physical Sciences,Ecology and Evolutionary Biology,21,Field Biology
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,25,Living Ocean
Foundations of Scientific Inquiry,Life Sciences,Ecology and Evolutionary Biology,98T,Plants and Humans: Ancient Connection
Foundations of Scientific Inquiry,Life Sciences,Environment,12,Sustainability and Environment
Foundations of Scientific Inquiry,Physical Sciences,Environment,12,Sustainability and Environment
Foundations of Scientific Inquiry,Life Sciences,Environment,25,"Good Food for Everyone: Health, Sustainability, and Culture"
Foundations of Scientific Inquiry,Physical Sciences,Environment,25,"Good Food for Everyone: Health, Sustainability, and Culture"
Foundations of Scientific Inquiry,Life Sciences,Food Studies,27,Critical Thinking about Food and Science Publications
Foundations of Scientific Inquiry,Physical Sciences,Geography,1,Earth's Physical Environment
Foundations of Scientific Inquiry,Life Sciences,Geography,2,Biodiversity in Changing World
Foundations of Scientific Inquiry,Life Sciences,Geography,5,People and Earth's Ecosystems
Foundations of Scientific Inquiry,Physical Sciences,Geography,5,People and Earth's Ecosystems
Foundations of Scientific Inquiry,Life Sciences,Geography,88GE,Seminar Sequence: Special Topics in Geography
Foundations of Scientific Inquiry,Physical Sciences,Geography,88GE,Seminar Sequence: Special Topics in Geography
Foundations of Scientific Inquiry,Life Sciences,Honors Collegium,3,Personal Brain Management
Foundations of Scientific Inquiry,Life Sciences,Honors Collegium,14,Interaction of Science and Society
Foundations of Scientific Inquiry,Life Sciences,Honors Collegium,64,Neuroscience and Psychology of Art and Biology of Aesthetics
Foundations of Scientific Inquiry,Life Sciences,Honors Collegium,70A,"Genetic Engineering in Medicine, Agriculture, and Law"
Foundations of Scientific Inquiry,Life Sciences,Life Sciences,7A,Cell and Molecular Biology
Foundations of Scientific Inquiry,Life Sciences,Life Sciences,15,Life: Concepts and Issues
Foundations of Scientific Inquiry,Life Sciences,Life Sciences,15L,Life: Concepts and Issues Laboratory
Foundations of Scientific Inquiry,Life Sciences,Life Sciences,30A,Mathematics for Life Scientists
Foundations of Scientific Inquiry,Physical Sciences,Materials Science and Engineering,33W,Materials Structure and Technology in Archaeology and Architecture
Foundations of Scientific Inquiry,Life Sciences,Medicine,185,Integrative East-West Medicine for Health and Wellness
Foundations of Scientific Inquiry,Life Sciences,"Microbiology, Immunology, and Molecular Genetics",6,Microbiology for Nonmajors
Foundations of Scientific Inquiry,Life Sciences,"Molecular, Cell, and Developmental Biology",50,"Stem Cell Biology, Politics, and Ethics: Teasing Apart Issues"
Foundations of Scientific Inquiry,Life Sciences,"Molecular, Cell, and Developmental Biology",90,Human Stem Cells and Medicine
Foundations of Scientific Inquiry,Life Sciences,Neuroscience,10,Brain Made Simple: Neuroscience for 21st Century
Foundations of Scientific Inquiry,Life Sciences,Neuroscience,17,Science of Music
Foundations of Scientific Inquiry,Life Sciences,Nursing,3,Human Physiology for Healthcare Providers
Foundations of Scientific Inquiry,Life Sciences,Nursing,13,Introduction to Human Anatomy
Foundations of Scientific Inquiry,Physical Sciences,Physics,1A,Physics for Scientists and Engineers: Mechanics
Foundations of Scientific Inquiry,Physical Sciences,Physics,1AH,Physics for Scientists and Engineers: Mechanics (Honors)
Foundations of Scientific Inquiry,Physical Sciences,Physics,1B,"Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields"
Foundations of Scientific Inquiry,Physical Sciences,Physics,1BH,"Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields (Honors)"
Foundations of Scientific Inquiry,Physical Sciences,Physics,1C,"Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity"
Foundations of Scientific Inquiry,Physical Sciences,Physics,1CH,"Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity (Honors)"
Foundations of Scientific Inquiry,Physical Sciences,Physics,5A,Physics for Life Sciences Majors: Mechanics and Energy
Foundations of Scientific Inquiry,Physical Sciences,Physics,5B,"Physics for Life Sciences Majors: Thermodynamics, Fluids, Waves, Light, and Optics"
Foundations of Scientific Inquiry,Physical Sciences,Physics,5C,"Physics for Life Sciences Majors: Electricity, Magnetism, and Modern Physics"
Foundations of Scientific Inquiry,Physical Sciences,Physics,10,Physics
Foundations of Scientific Inquiry,Physical Sciences,Physics,11,Revolutions in Physics
Foundations of Scientific Inquiry,Physical Sciences,Physics,12,Physics of Sustainable Energy
Foundations of Scientific Inquiry,Life Sciences,Physiological Science,3,Introduction to Human Physiology
Foundations of Scientific Inquiry,Life Sciences,Physiological Science,5,Issues in Human Physiology: Diet and Exercise
Foundations of Scientific Inquiry,Life Sciences,Physiological Science,7,Science and Food: Physical and Molecular Origins of What We Eat
Foundations of Scientific Inquiry,Physical Sciences,Physiological Science,7,Science and Food: Physical and Molecular Origins of What We Eat
Foundations of Scientific Inquiry,Life Sciences,Physiological Science,13,Introduction to Human Anatomy
Foundations of Scientific Inquiry,Life Sciences,Psychiatry and Biobehavioral Sciences,79,Applied Positive Neuroscience: Skills for Improving Productivity and Well-Being
Foundations of Scientific Inquiry,Life Sciences,Psychology,15,Introductory Psychobiology
Foundations of Scientific Inquiry,Life Sciences,Society and Genetics,101,Genetic Concepts for Human Sciences
Foundations of Scientific Inquiry,Life Sciences,Statistics,10,Introduction to Statistical Reasoning
Foundations of Scientific Inquiry,Physical Sciences,Statistics,10,Introduction to Statistical Reasoning
Foundations of Scientific Inquiry,Life Sciences,Statistics,13,Introduction to Statistical Methods for Life and Health Sciences
Foundations of Scientific Inquiry,Physical Sciences,Statistics,15,Introduction to Data Science
