course_id,subject_area,course_title,avg_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,dfw_rate,total_letter_grades,total_all_grades,total_dfw,total_A,total_B,total_C,total_D,total_F
A&O SCI 2L,A&O SCI,Air Pollution Laboratory,3.862,94.17,2.62,0.58,1.75,0.87,2.54,343,354,9,323,9,2,6,3
A&O SCI 3,A&O SCI,Introduction to Atmospheric Environment,3.401,61.95,23.27,10.06,2.99,1.73,5.56,636,756,42,394,148,64,19,11
A&O SCI 3L,A&O SCI,Introduction to Atmospheric Environment Laboratory,3.663,78.62,12.41,7.59,0.0,1.38,1.24,145,161,2,114,18,11,0,2
A&O SCI 51,A&O SCI,Fundamentals of Climate Science,3.444,60.29,29.41,8.82,0.0,1.47,1.43,68,70,1,41,20,6,0,1
A&O SCI 90,A&O SCI,Introduction to Undergraduate Research in Atmospheric and Oceanic Sciences,3.423,59.65,33.33,5.26,0.0,1.75,1.72,57,58,1,34,19,3,0,1
A&O SCI C110,A&O SCI,Advanced Dynamic and Synoptic Meteorology,3.595,78.05,12.2,4.88,2.44,2.44,4.88,41,41,2,32,5,2,1,1
A&O SCI C111,A&O SCI,Introduction to Machine Learning for Physical Sciences,3.632,80.0,12.31,3.08,1.54,3.08,4.41,65,68,3,52,8,2,1,2
A&O SCI C160,A&O SCI,Remote Sensing of Atmosphere and Oceans,3.858,93.55,6.45,0.0,0.0,0.0,0.0,31,31,0,29,2,0,0,0
A&O SCI C204,A&O SCI,Introduction to Machine Learning for Physical Sciences,3.86,88.24,10.59,1.18,0.0,0.0,0.0,85,93,0,75,9,1,0,0
A&O SCI M100,A&O SCI,Earth and Its Environment,3.938,95.1,3.92,0.98,0.0,0.0,0.0,102,102,0,97,4,1,0,0
A&O SCI M105,A&O SCI,Introduction to Chemical Oceanography,3.246,52.16,29.01,13.27,3.4,2.16,5.56,324,324,18,169,94,43,11,7
A&O SCI M7,A&O SCI,Perils of Space: Introduction to Space Weather,3.816,84.09,14.77,1.14,0.0,0.0,0.0,88,91,0,74,13,1,0,0
A&O SCI M71,A&O SCI,Introduction to Computing for Geoscientists,3.446,72.22,14.81,3.7,5.56,3.7,8.77,54,57,5,39,8,2,3,2
AERO ST 1A,AERO ST,Heritage and Values,3.982,100.0,0.0,0.0,0.0,0.0,0.0,34,38,0,34,0,0,0,0
AF AMER 1,AF AMER,Introduction to Black Studies,3.688,79.84,14.45,3.63,0.43,1.64,2.25,1156,1200,27,923,167,42,5,19
AF AMER 105B,AF AMER,Issues in Pan-African Biography and Autobiography,3.92,95.77,4.23,0.0,0.0,0.0,0.0,71,79,0,68,3,0,0,0
AF AMER 105C,AF AMER,"Africa, African Americans, and History of Capitalism",3.935,95.38,4.62,0.0,0.0,0.0,0.0,65,73,0,62,3,0,0,0
AF AMER 106B,AF AMER,"Militarism, International Security, and African American Political Thought",3.956,98.31,0.0,1.69,0.0,0.0,0.0,59,60,0,58,0,1,0,0
AF AMER 108,AF AMER,Jazz and Political Imagination,3.782,81.63,14.29,4.08,0.0,0.0,0.0,49,52,0,40,7,2,0,0
AF AMER 110A,AF AMER,"Race, Science, and Society",3.605,72.41,20.11,5.17,1.72,0.57,2.14,174,187,4,126,35,9,3,1
AF AMER 110B,AF AMER,Reproducing While Black: Politics of Black Reproduction,3.887,92.86,5.36,0.89,0.0,0.89,0.88,112,113,1,104,6,1,0,1
AF AMER 110C,AF AMER,"Black Health Matters: Wellness, Health, and Self-Care",4.0,100.0,0.0,0.0,0.0,0.0,0.0,46,46,0,46,0,0,0,0
AF AMER 112A,AF AMER,"Sunken Place: Racism, Survival, and Black Horror Aesthetic",3.796,89.19,6.93,2.31,0.21,1.36,1.53,953,978,15,850,66,22,2,13
AF AMER 112B,AF AMER,Aboard Mothership: Introduction to Afrofuturism,3.83,91.0,6.07,1.17,0.0,1.76,2.08,511,528,11,465,31,6,0,9
AF AMER 176,AF AMER,"Race, Racism, and Law",3.813,83.33,16.67,0.0,0.0,0.0,0.0,30,38,0,25,5,0,0,0
AF AMER 184A,AF AMER,"Research in Black Life, Institutions, and Culture",3.984,100.0,0.0,0.0,0.0,0.0,0.0,74,74,0,74,0,0,0,0
AF AMER 184B,AF AMER,"Research in Black Life, Institutions, and Culture II",4.0,100.0,0.0,0.0,0.0,0.0,0.0,72,72,0,72,0,0,0,0
AF AMER 184C,AF AMER,"Research in Black Life, Institutions and Culture III: Comparative Black Studies Research Perspectives and Methods",4.0,100.0,0.0,0.0,0.0,0.0,0.0,71,76,0,71,0,0,0,0
AF AMER 188A,AF AMER,Special Courses in African American Studies,3.696,82.35,12.35,1.76,1.18,2.35,3.14,170,191,6,140,21,3,2,4
AF AMER 241,AF AMER,Special Topics in Afro-American Studies,3.965,97.3,2.7,0.0,0.0,0.0,0.0,37,37,0,36,1,0,0,0
AF AMER 2B,AF AMER,Race and U.S. Military Intervention in Africa,3.797,93.93,1.62,0.0,0.0,4.45,4.21,247,261,11,232,4,0,0,11
AF AMER 2C,AF AMER,"Black Folks Kung Fu Fightin': Black America, Martial Arts, and Popular Culture",3.405,62.5,25.0,7.5,5.0,0.0,5.0,40,40,2,25,10,3,2,0
AF AMER 6,AF AMER,Trends in Black Intellectual Thought,3.598,69.69,23.58,5.7,0.52,0.52,1.03,386,387,4,269,91,22,2,2
AF AMER 96W,AF AMER,Variable Topics in Black Studies,3.819,85.42,12.5,0.0,2.08,0.0,2.08,48,48,1,41,6,0,1,0
AF AMER M104A,AF AMER,Early African American Literature,3.357,57.75,28.17,10.56,1.41,2.11,4.08,142,147,6,82,40,15,2,3
